Metric,Value
route__drc_errors__iter:6,37
route__wirelength__iter:6,140153
route__drc_errors__iter:7,0
route__wirelength__iter:7,140134
route__drc_errors,0
route__wirelength,140206
route__vias,29301
route__vias__singlecut,29301
route__vias__multicut,0
flow__warnings__count:DRT-0349,7
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,429.24
design__instance__count__class:fill_cell,1389
design__instance__area__class:fill_cell,4421.69
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,15
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,15
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,15
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,15
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.1999
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19996
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000982624
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000986151
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000369915
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000986151
design_powergrid__voltage__worst,0.0000986151
design_powergrid__voltage__worst__net:VPWR,1.1999
design_powergrid__drop__worst,0.0000986151
design_powergrid__drop__worst__net:VPWR,0.0000982624
design_powergrid__voltage__worst__net:VGND,0.0000986151
design_powergrid__drop__worst__net:VGND,0.0000986151
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000038500000000000000693022028652734434217563830316066741943359375
ir__drop__worst,0.0000983000000000000041279479834344101618626154959201812744140625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
