# Logfile created on 2026-07-11 03:46:42 +0200 by logger.rb/v1.5.3
2026-07-11 03:46:42 +0200: Memory Usage (524500K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/gds/MSPHY9932.gds
2026-07-11 03:46:42 +0200: Memory Usage (524500K) : Ruby Version for klayout: 3.2.3
2026-07-11 03:46:42 +0200: Memory Usage (529108K) : Loading database to memory is complete.
2026-07-11 03:46:42 +0200: Memory Usage (529108K) : IHP-SG13CMOS5L KLayout DRC runset output at: /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/drc/MSPHY9932_MSPHY9932_cont.lyrdb
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : Evaluate switches.
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : tables selected: cont
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : KLayout will use 16 thread(s) in tiled mode.
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : deep mode is enabled.
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : FEOL enabled: false
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : BEOL enabled: false
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : OFFGRID enabled: true
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : ANGLE enabled: true
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : PIN enabled: false
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : FORBIDDEN enabled: false
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : RECOMMENDED enabled: true
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : PreCheck DRC enabled: false
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : CONNECTIVITY_RULES enabled: false.
2026-07-11 03:46:42 +0200: Memory Usage (529236K) : Read in polygons from layers.
2026-07-11 03:46:42 +0200: Memory Usage (530644K) : activ_drw has 4847 polygons
2026-07-11 03:46:42 +0200: Memory Usage (530900K) : activ_pin has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (530900K) : activ_mask has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531028K) : activ_filler has 23127 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531028K) : activ_nofill has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531156K) : activ_opc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531156K) : activ_iopc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531156K) : activ_noqrc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531284K) : biwind_drw has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531284K) : biwind_opc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531412K) : pemwind_drw has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531412K) : gatpoly_drw has 4112 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531540K) : gatpoly_pin has 65 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531668K) : gatpoly_filler has 23127 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531668K) : gatpoly_nofill has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531796K) : gatpoly_opc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531796K) : gatpoly_iopc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (531924K) : gatpoly_noqrc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539860K) : cont_drw has 1640232 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539860K) : cont_opc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539860K) : nsd_drw has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539860K) : nsd_block has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539860K) : metal1_drw has 39512 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539860K) : metal1_pin has 18610 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539860K) : metal1_mask has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539860K) : metal1_filler has 27923 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539860K) : metal1_nofill has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539860K) : metal1_slit has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : metal1_text has 10091 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : metal1_opc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : metal1_noqrc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : metal1_res has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : metal1_iprobe has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : metal1_diffprb has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : passiv_drw has 32 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : passiv_pin has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : passiv_sbump has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : passiv_pillar has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : passiv_pdl has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : metal2_drw has 129019 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : metal2_pin has 642 polygons
2026-07-11 03:46:42 +0200: Memory Usage (539988K) : metal2_mask has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540244K) : metal2_filler has 30369 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540244K) : metal2_nofill has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540244K) : metal2_slit has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540244K) : metal2_text has 642 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540244K) : metal2_opc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540244K) : metal2_noqrc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540372K) : metal2_res has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540372K) : metal2_iprobe has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540500K) : metal2_diffprb has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540500K) : baspoly_drw has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540500K) : baspoly_pin has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540628K) : psd_drw has 1819 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540756K) : nldb_drw has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (540756K) : digibnd_drw has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541012K) : via1_drw has 61293 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541140K) : backmetal1_drw has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541140K) : backmetal1_pin has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541140K) : backmetal1_mask has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541268K) : backmetal1_filler has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541268K) : backmetal1_nofill has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541268K) : backmetal1_slit has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541396K) : backmetal1_text has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541524K) : backmetal1_opc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541524K) : backmetal1_noqrc has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541652K) : backmetal1_res has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541652K) : backmetal1_iprobe has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541780K) : backmetal1_diffprb has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541780K) : backpassiv_drw has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541908K) : res_drw has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (541908K) : sram_drw has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (542036K) : trans_drw has 0 polygons
2026-07-11 03:46:42 +0200: Memory Usage (542036K) : ind_drw has 0 polygons
