# Logfile created on 2026-07-11 03:25:53 +0200 by logger.rb/v1.5.3
2026-07-11 03:25:53 +0200: Memory Usage (524472K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/gds/MSPHY9932.gds
2026-07-11 03:25:53 +0200: Memory Usage (524472K) : Ruby Version for klayout: 3.2.3
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : Loading database to memory is complete.
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : IHP-SG13CMOS5L KLayout DRC runset output at: /foss/designs/adc8b/IHP__MSPHY9932/release/v.1.0.0/drc/MSPHY9932_MSPHY9932_forbidden.lyrdb
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : Evaluate switches.
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : tables selected: forbidden
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : KLayout will use 16 thread(s) in tiled mode.
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : deep mode is enabled.
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : FEOL enabled: false
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : BEOL enabled: false
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : OFFGRID enabled: true
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : ANGLE enabled: true
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : PIN enabled: false
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : FORBIDDEN enabled: false
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : RECOMMENDED enabled: true
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : PreCheck DRC enabled: false
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : CONNECTIVITY_RULES enabled: false.
2026-07-11 03:25:53 +0200: Memory Usage (529208K) : Read in polygons from layers.
2026-07-11 03:25:53 +0200: Memory Usage (530616K) : activ_drw has 4847 polygons
2026-07-11 03:25:53 +0200: Memory Usage (530744K) : activ_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (530872K) : activ_mask has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (530872K) : activ_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (530872K) : activ_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531000K) : activ_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531000K) : activ_iopc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531128K) : activ_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531128K) : biwind_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531256K) : biwind_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531256K) : pemwind_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531256K) : gatpoly_drw has 4112 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531384K) : gatpoly_pin has 65 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531512K) : gatpoly_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531640K) : gatpoly_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531640K) : gatpoly_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531768K) : gatpoly_iopc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (531768K) : gatpoly_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539576K) : cont_drw has 1640232 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539576K) : cont_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539576K) : nsd_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539576K) : nsd_block has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539576K) : metal1_drw has 39512 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539576K) : metal1_pin has 18610 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539576K) : metal1_mask has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539576K) : metal1_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539576K) : metal1_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539576K) : metal1_slit has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal1_text has 10091 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal1_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal1_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal1_res has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal1_iprobe has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal1_diffprb has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : passiv_drw has 32 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : passiv_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : passiv_sbump has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : passiv_pillar has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : passiv_pdl has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_drw has 129019 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_pin has 642 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_mask has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_slit has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_text has 642 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_res has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_iprobe has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539704K) : metal2_diffprb has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539960K) : baspoly_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539960K) : baspoly_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539960K) : psd_drw has 1819 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539960K) : nldb_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (539960K) : digibnd_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540088K) : via1_drw has 61293 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540344K) : backmetal1_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540344K) : backmetal1_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540344K) : backmetal1_mask has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540472K) : backmetal1_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540472K) : backmetal1_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540600K) : backmetal1_slit has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540600K) : backmetal1_text has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540728K) : backmetal1_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540728K) : backmetal1_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540856K) : backmetal1_res has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540984K) : backmetal1_iprobe has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (540984K) : backmetal1_diffprb has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (541112K) : backpassiv_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (541112K) : res_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (541112K) : sram_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (541240K) : trans_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (541240K) : ind_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (541368K) : ind_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (541496K) : ind_text has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (541496K) : salblock_drw has 55 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542520K) : via2_drw has 170273 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542648K) : metal3_drw has 126558 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542776K) : metal3_pin has 342 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542776K) : metal3_mask has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542904K) : metal3_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (542904K) : metal3_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543032K) : metal3_slit has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543032K) : metal3_text has 342 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543160K) : metal3_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543160K) : metal3_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543160K) : metal3_res has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543288K) : metal3_iprobe has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543288K) : metal3_diffprb has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543416K) : nwell_drw has 900 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543544K) : nwell_pin has 1 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543544K) : nbulay_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543672K) : nbulay_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543800K) : nbulay_block has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543800K) : emwind_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543800K) : emwind_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543928K) : deepco_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (543928K) : deepco_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544056K) : mim_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544056K) : edgeseal_drw has 24 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544184K) : edgeseal_bound has 1 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544184K) : substrate_drw has 818 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544312K) : substrate_text has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544312K) : dfpad_drw has 20 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544312K) : dfpad_pillar has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544440K) : dfpad_sbump has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544440K) : thickgateox_drw has 39 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544568K) : pldb_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544568K) : pwell_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544696K) : pwell_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544824K) : pwell_block has 6 polygons
2026-07-11 03:25:53 +0200: Memory Usage (544824K) : ic_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545720K) : via3_drw has 165845 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_drw has 123478 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_pin has 16630 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_mask has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_slit has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_text has 8424 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_res has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_iprobe has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal4_diffprb has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : heattrans_drw has 856 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : heatres_drw has 36 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : pempoly_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : fbe_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : empoly_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : ldmos_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : pbiwind_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : digisub_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : nodrc_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : text_drw has 607 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : via4_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_mask has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_slit has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_text has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_noqrc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_res has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_iprobe has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : metal5_diffprb has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : radhard_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : memcap_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : varicap_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : flash_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : intbondvia_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : intbondmet_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : devbondvia_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : devbondmet_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : devtrench_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : redist_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphbot_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphtop_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : antvia1_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : antmetal2_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphcont_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : siwg_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : siwg_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : siwg_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : sigrating_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : singrating_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphpas_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : emwind3_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : emwihv3_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : redbulay_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : smos_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphpad_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : polimide_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : polimide_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_pin has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_esd has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_diode has 113 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_tsv has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_iprobe has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_diffprb has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_pillar has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_sbump has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_otp has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_pdiode has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_mom has 8198 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : recog_pcm has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : colopen_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphmetal1_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphmetal1_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphmetal1_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphmetal1_slit has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphmetal1_opc has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphmet1l_drw has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphmet1l_filler has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphmet1l_nofill has 0 polygons
2026-07-11 03:25:53 +0200: Memory Usage (545848K) : graphmet1l_slit has 0 polygons
